placeId,name,address,lat,lng,types
ChIJVXCC8-lXNIgRFUHoZ9xtz4c,ALDI,"3013 Washington Pike, Bridgeville",40.354106,-80.112892,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJx5b0BvpXNIgRPHY1hgljO70,Giant Eagle Supermarket,"1025 Washington Pike, Bridgeville",40.367297,-80.1093798,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJwd-gJflXNIgRjiM1q2y6D00,Fresh Thyme Market,"1155 Washington Pike, Bridgeville",40.3696873,-80.10456789999999,"grocery_or_supermarket,bakery,supermarket,store,health,food,point_of_interest,establishment"
ChIJHZEuFcv5NIgRx5ZEUOiKFIw,Trader Joe's,"1630 Washington Road, Pittsburgh",40.3513544,-80.0517205,"grocery_or_supermarket,supermarket,store,health,food,point_of_interest,establishment"
ChIJadD6SMz5NIgRsPk3wZhe_30,The Fresh Market,"1551 Washington Road, Mount Lebanon Township",40.354668,-80.049388,"grocery_or_supermarket,bakery,supermarket,store,food,point_of_interest,establishment"
ChIJt7HbHrb5NIgRhdNkAck109s,Market District Supermarket,"7000 Oxford Drive #288, Bethel Park",40.34692249999999,-80.0466498,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJJcHArF_3NIgRDchQsLYMvgk,Castle Shannon Shop 'n Save,"799 Castle Shannon Boulevard, Pittsburgh",40.3688578,-80.0284875,"grocery_or_supermarket,pharmacy,supermarket,health,store,food,point_of_interest,establishment"
ChIJr7PkZ1D6NIgRDEZccteDHvk,Giant Eagle Supermarket,"5260 Grove Road, Pittsburgh",40.3573828,-80.002139,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJves_M-3wNIgRyySNcNRqGhk,Giant Eagle Supermarket,"600 Towne Square Way, Pittsburgh",40.3657243,-79.98327069999999,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJu9XktvDvNIgR_qa2lSryUs8,Shop 'n Save,"4647 Buttermilk Hollow Road, West Mifflin",40.3609965,-79.9065572,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJL0gvNHbvNIgR2ZSS5ZUJArU,Village Shop 'n Save,"1886 Homeville Road, West Mifflin",40.3654089,-79.87321089999999,"grocery_or_supermarket,department_store,supermarket,store,food,point_of_interest,establishment"
ChIJIxkOk0n3NIgRM0lIRtIBwKA,ALDI,"3089 Sussex Avenue, Pittsburgh",40.38373139999999,-80.0142647,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJD8xaSeH3NIgRSe1QEI_t0pk,Heidelberg Shop 'n Save,"2100 Washington Pike, Carnegie",40.3878714,-80.0931526,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJ5x703Lz3NIgRXqsxGVTYH98,Giant Eagle Supermarket,"Greentree &, 1717 Cochran Road, Pittsburgh",40.39259149999999,-80.06546089999999,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
