placeId,name,address,lat,lng,types,category
ChIJS1VVVRDyNIgRZH6zaKD986M,Market District Supermarket,"5550 Centre Ave, Pittsburgh, PA 15232, United States",40.4565029,-79.9346192,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJQRsgg4jxNIgRzhBN6AHbUgk,Frenchi's Deli & Market,"449 Atwood St, Pittsburgh, PA 15213, United States",40.4371953,-79.95258489999999,"convenience_store,point_of_interest,food,store,establishment",grocery
ChIJY5prgW_xNIgRF0-wHrBWf9g,Giant Eagle Supermarket,"2021 Wharton St, Pittsburgh, PA 15203, United States",40.4310117,-79.97684269999999,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJ2SjnaobxNIgR6UjCDY7hZjQ,A&K convenience store,"3459 Ward St, Pittsburgh, PA 15213, United States",40.4363829,-79.9542882,"convenience_store,point_of_interest,food,store,establishment",grocery
ChIJuzJXK3fzNIgRRGhy1I7o2eI,Whole Foods Market,"5700 Penn Ave, Pittsburgh, PA 15206, United States",40.4625517,-79.9288163,"grocery_or_supermarket,liquor_store,supermarket,point_of_interest,food,store,health,establishment",grocery
ChIJq3m-fLjtNIgRbE3wTPpb0AQ,Betts Market,"819 Brushton Ave, Pittsburgh, PA 15208, United States",40.45527149999999,-79.8883111,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJ1zoyg4rtNIgRSxPRbL-pIKM,Trader Joe's,"6343 Penn Ave, Pittsburgh, PA 15206, United States",40.4592363,-79.9191827,"grocery_or_supermarket,supermarket,point_of_interest,food,store,health,establishment",grocery
ChIJ6yXh0W3zNIgRo1u_nGobjHs,The A-Z Strip Market Inc,"57 18th St, Pittsburgh, PA 15222, United States",40.45066629999999,-79.98517269999999,"convenience_store,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJC_jcQYrxNIgRngOa8IWzcFc,Ravi’s (Everything You Need),"967 Liberty Ave, Pittsburgh, PA 15222, United States",40.4436769,-79.9956009,"convenience_store,cafe,grocery_or_supermarket,restaurant,point_of_interest,food,clothing_store,store,establishment",grocery
ChIJQffli7XsNIgRTB_uHRHqzQk,Market District Supermarket,"Waterworks Plaza, 910 Freeport Rd, Pittsburgh, PA 15238, United States",40.4884011,-79.8938411,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJdauyj3bxNIgRgU4bRhg5s7Q,ALDI,"2628 E Carson St, Pittsburgh, PA 15203, United States",40.427552,-79.96782999999999,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
