placeId,name,address,lat,lng,types,category,businessStatus,rating,userRatingsTotal
ChIJ0TlcK4uzNYgRjNf6ZQh3naw,Dollar General,"1969 Jefferson Avenue, Washington",40.19119549999999,-80.28231219999999,"drugstore,convenience_store,grocery_or_supermarket,health,store,food,point_of_interest,establishment",convenience,OPERATIONAL,4.0,45.0
ChIJpW0AqY-yNYgRUTByIe9ixVg,AL'an Ruben's Bar & Grill,"2390 Jefferson Avenue, Washington",40.1938889,-80.28999999999999,"bar,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.8,751.0
ChIJM1WGfI-yNYgRUZURnfiKidU,Shorty's Lunch,"Wolfdale Plaza, 2301 Jefferson Avenue, Washington",40.19279139999999,-80.28849,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.6,688.0
ChIJsQ9iqY-yNYgRHdC3a4jhlJE,Tonya's Tavern,"2398 Jefferson Avenue, Washington",40.1941452,-80.2904205,"bar,restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,286.0
ChIJHfyATnitNYgRSoNv7JDBddU,Amoco,"1300 Jefferson Avenue, Washington",40.18624999999999,-80.26741,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",grocery,OPERATIONAL,3.9,13.0
ChIJ6QGhBGStNYgREaYEc1Kwkjs,Dollar General,"935 Henderson Avenue #103, Washington",40.1995757,-80.2716023,"convenience_store,drugstore,grocery_or_supermarket,food,health,store,point_of_interest,establishment",convenience,OPERATIONAL,4.0,245.0
ChIJFZxuTXitNYgRgnqxO8pLcCQ,Coen Markets,"1300 Jefferson Avenue, Washington",40.1865049,-80.267647,"convenience_store,gas_station,cafe,food,store,point_of_interest,establishment","convenience,food_bank",OPERATIONAL,1.8,5.0
ChIJDzXCEOOtNYgRMC9-6C6LpWw,MAPCO,"860 Henderson Avenue, Washington",40.1979972,-80.268824,"gas_station,convenience_store,food,store,point_of_interest,establishment",convenience,OPERATIONAL,4.0,4.0
ChIJ6aI7VmGtNYgR0-TEPzC4IW4,Countryside Deli,"935 Henderson Avenue, Washington",40.199728,-80.271622,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,424.0
ChIJn3hFtHmtNYgRqYTe-ODsEOU,Osso's Original Pizza,"90 Henderson Avenue, Washington",40.1869716,-80.26681599999999,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.5,1044.0
ChIJU4MiP3itNYgRvD7U_U7t76U,Dog House Diner,"1145 Jefferson Avenue, Washington",40.184826,-80.266645,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.3,977.0
ChIJG7oRA0GtNYgRWhy5CWjwGn4,Washington County Fair,"Washington County Fairgrounds, 2151 N Main St, Washington",40.20867,-80.2574236,"point_of_interest,establishment",food_bank,OPERATIONAL,4.2,956.0
ChIJL_2Dm-GtNYgRYH4nJY-MmXc,GG,"140 East Wylie Avenue, Washington",40.183408,-80.2616209,"convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,4.8,4.0
ChIJJY5Ufy-tNYgRAaxVCmENBUc,Washington Country Club,"599 Country Club Road, Washington",40.2087746,-80.2369487,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,119.0
ChIJb5X1Kd-tNYgR9voNrbjT8LM,Boga Taco,"1054 Jefferson Avenue, Washington",40.1836638,-80.2649307,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.9,438.0
ChIJVWOPIQCtNYgRaKzLKmL83Eg,Popeyes Louisiana Kitchen,"301 Oak Spring Rd, Washington",40.1826207,-80.23252690000001,"restaurant,food,point_of_interest,establishment","food_bank,restaurant",OPERATIONAL,3.6,1391.0
ChIJA_vZoqCtNYgRVnWfqONRYgk,Thomas Campbell Apartments-Senior living,"850 Beech St Ext apt 411, Washington",40.1842975,-80.25043029999999,"point_of_interest,establishment",food_bank,OPERATIONAL,3.8,42.0
ChIJ-d7XJPysNYgRw9fbVtoF9bg,Giant Eagle Supermarket,"331 Washington Road, Washington",40.1865951,-80.22841989999999,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment","food_bank,grocery",OPERATIONAL,4.1,1575.0
ChIJtwOrG_KsNYgRDaKKW4zE0MA,Amoco,"481 Washington Road, Washington",40.18958,-80.21372,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",grocery,OPERATIONAL,3.8,32.0
ChIJLVpkjO2sNYgROPMD3aMXvQY,Coen Markets,"481 Washington Road, Washington",40.1900451,-80.2136864,"convenience_store,cafe,gas_station,liquor_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,5.0,3.0
ChIJ_cNfNPqsNYgRjk3ra40vFdE,GetGo Gas Station,"333 Washington Road, Washington",40.1873699,-80.2289291,"gas_station,cafe,convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,3.8,30.0
ChIJf0uDxietNYgRtDpBxLUK4-Q,Sheetz,"650 Pike Street, Meadowlands",40.21281859999999,-80.226145,"convenience_store,cafe,gas_station,store,restaurant,food,point_of_interest,establishment","convenience,restaurant",OPERATIONAL,3.1,38.0
ChIJz-_6UZNSNIgRadbjRBWckzU,Texas Roadhouse,"311 Washington Road, Washington",40.1879934,-80.2246782,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.4,3011.0
ChIJ09VMIfqsNYgRbDYQhZ0iCXQ,Cracker Barrel Old Country Store,"1008 Trinity Circle, Washington",40.1849812,-80.22527529999999,"meal_takeaway,restaurant,food,store,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.3,3535.0
ChIJw8nBZfCsNYgRo5LAl0-_Vus,Olive Garden Italian Restaurant,"371 Washington Road, Washington",40.1883473,-80.22005089999999,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.3,2123.0
ChIJPd48g-2sNYgRh-SGwJiglQ8,Subway,"502 Washington Road, Washington",40.1904918,-80.2125217,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",CLOSED_TEMPORARILY,3.6,188.0
ChIJL5TJlH5NNIgRZX8f11AVcrk,Outback Steakhouse,"460 Washington Road, Washington",40.1876325,-80.2172844,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.2,1618.0
ChIJA2lPY-6sNYgR6NXoG71r974,Jimmy John's,"996 Manifold Road, Washington",40.190334,-80.2136929,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.1,360.0
ChIJxTZ-Le6sNYgRfvvKzpZrnL8,Buffalo Wild Wings,"50 Old Mill Boulevard, Washington",40.1901733,-80.2202733,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.0,1360.0
ChIJx1iTLu6sNYgRxMmZ3Hn_7Bk,Five Guys,"30 Old Mill Boulevard, Washington",40.1896049,-80.2207447,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.4,751.0
ChIJSxbsn_qsNYgR8vPZZoHn0VQ,Asahi All You Can Eat,"16 Old Mill Boulevard, Washington",40.1890543,-80.2212249,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.1,1540.0
ChIJB37W5vCsNYgRs8f_0sOlPx4,Red Robin Gourmet Burgers and Brews,"20 Trinity Place, Washington",40.186408,-80.218555,"restaurant,meal_takeaway,bar,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.4,2236.0
ChIJp6_ryvGsNYgRZNv3GZEQpbg,Chick-fil-A,"375 Washington Road, Washington",40.1889209,-80.21805789999999,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.7,2917.0
ChIJ2x50f5NSNIgRq9rQqFKE6rY,LongHorn Steakhouse,"377 Washington Road, Washington",40.189211,-80.2173658,"meal_takeaway,bar,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.4,2057.0
ChIJrWmL1wCtNYgRqi6IQoLF4og,Eat'n Park,"320 Oak Spring Road, Washington",40.1825464,-80.2353117,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,3.9,1676.0
